Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity
2023-01-21,Mexico City,67.59,68.48,10.39,2.41,1.55,84.45,161.4,22.2,66.2
2023-01-22,Mexico City,70.17,81.36,26.57,34.03,2.02,92.55,183.6,16.4,33.2
2023-01-23,Mexico City,64.2,65.92,62.91,29.13,0.44,39.08,180.5,18.1,21.1
2023-01-24,Mexico City,64.47,63.32,16.33,4.37,1.3,62.97,155.5,19.8,72.1
2023-01-25,Mexico City,46.14,95.37,42.79,20.96,3.22,15.96,166.9,18.8,81.4
2023-01-26,Mexico City,59.55,67.79,77.2,22.93,0.77,41.38,182.2,18.1,30.1
2023-01-27,Mexico City,62.6,62.6,35.45,24.52,2.35,53.23,161.7,12.4,48.7
2023-01-28,Mexico City,64.95,80.88,62.52,21.99,2.53,72.04,193.4,20.7,81.2
2023-01-29,Mexico City,63.73,72.95,7.3,23.68,1.13,83.97,157.6,17.7,29.8
2023-01-30,Mexico City,55.1,92.72,61.17,25.31,0.26,43.13,187.4,14.8,32.8
